,person_id,id,role,title,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
0,3748,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
1,14658,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
2,7064,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
3,3739,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
4,48933,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
5,32267,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
6,519612,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
7,29068,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
8,519613,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
9,3308,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
10,43791,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
11,519614,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
12,519615,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
13,82426,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
14,20935,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
15,7753,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
16,43279,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
17,519616,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
18,8424,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
19,20447,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
20,519618,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
21,49567,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
22,15551,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
23,475303,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
24,43540,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
25,466061,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
26,212023,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
27,5367,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
28,17421,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
29,38141,tm84618,ACTOR,Taxi Driver,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,good_score,350000+,27.612,8.2
