index,person_id,id,name,role
0,3748,tm84618,Robert De Niro,ACTOR
1,14658,tm84618,Jodie Foster,ACTOR
2,7064,tm84618,Albert Brooks,ACTOR
3,3739,tm84618,Harvey Keitel,ACTOR
4,48933,tm84618,Cybill Shepherd,ACTOR
5,32267,tm84618,Peter Boyle,ACTOR
6,519612,tm84618,Leonard Harris,ACTOR
7,29068,tm84618,Diahnne Abbott,ACTOR
8,519613,tm84618,Gino Ardito,ACTOR
9,3308,tm84618,Martin Scorsese,ACTOR
10,43791,tm84618,Murray Moston,ACTOR
11,519614,tm84618,Richard Higgs,ACTOR
12,519615,tm84618,Bill Minkin,ACTOR
13,82426,tm84618,Bob Maroff,ACTOR
14,20935,tm84618,Victor Argo,ACTOR
15,7753,tm84618,Joe Spinell,ACTOR
16,43279,tm84618,Robinson Frank Adu,ACTOR
17,519616,tm84618,Brenda Dickson,ACTOR
18,8424,tm84618,Norman Matlock,ACTOR
19,20447,tm84618,Harry Northup,ACTOR
20,519618,tm84618,Harlan Cary Poe,ACTOR
21,49567,tm84618,Steven Prince,ACTOR
22,15551,tm84618,Peter Savage,ACTOR
23,475303,tm84618,Nicholas Shields,ACTOR
24,43540,tm84618,Ralph S. Singleton,ACTOR
25,466061,tm84618,Annie Gagen,ACTOR
26,212023,tm84618,Carson Grant,ACTOR
27,5367,tm84618,Mary-Pat Green,ACTOR
28,17421,tm84618,Debbi Morgan,ACTOR
29,38141,tm84618,Don Stroud,ACTOR
30,811415,tm84618,Copper Cunningham,ACTOR
31,1141852,tm84618,Garth Avery,ACTOR
32,1662310,tm84618,Nat Grant,ACTOR
33,1393387,tm84618,Billie Perkins,ACTOR
34,9446,tm84618,Catherine Scorsese,ACTOR
35,9451,tm84618,Charles Scorsese,ACTOR
36,3308,tm84618,Martin Scorsese,DIRECTOR
37,11472,tm127384,Graham Chapman,ACTOR
38,1549,tm127384,John Cleese,ACTOR
39,11474,tm127384,Eric Idle,ACTOR
40,11473,tm127384,Terry Gilliam,ACTOR
41,11475,tm127384,Terry Jones,ACTOR
42,11476,tm127384,Michael Palin,ACTOR
43,40898,tm127384,Connie Booth,ACTOR
44,11478,tm127384,Carol Cleveland,ACTOR
45,11482,tm127384,Neil Innes,ACTOR
46,40899,tm127384,Bee Duffell,ACTOR
47,11481,tm127384,John Young,ACTOR
48,40900,tm127384,Rita Davies,ACTOR
49,40901,tm127384,Avril Stewart,ACTOR
50,40902,tm127384,Sally Kinghorn,ACTOR
51,40903,tm127384,Mark Zycon,ACTOR
52,1275018,tm127384,Elspeth Cameron,ACTOR
53,1462970,tm127384,Mitsuko Forstater,ACTOR
