index,title,id,movie,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
1,Taxi Driver,tm84618,MOVIE,1976,R,113,"[''crime'', ''drama'']",['US'],tt0075314,8.3,795222,27.612,8.2
4,The Exorcist,tm190788,MOVIE,1973,R,133,['horror'],['US'],tt0070047,8.1,391942,95.337,7.7
6,Dirty Harry,tm14873,MOVIE,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,7.7,153463,14.745,7.5
7,My Fair Lady,tm185072,MOVIE,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,7.8,94121,15.949,7.6
8,The Blue Lagoon,tm98978,MOVIE,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,5.8,69053,44.038,6.2
9,Bonnie and Clyde,tm119281,MOVIE,1967,R,110,"[''drama'', ''crime'', ''action'']",['US'],tt0061418,7.7,111189,15.309,7.5
10,The Professionals,tm67378,MOVIE,1966,PG-13,117,"[''western'', ''action'', ''european'']",['US'],tt0060862,7.3,16168,12.155,7.1
11,The Guns of Navarone,tm44204,MOVIE,1961,,158,"[''war'', ''action'', ''drama'']","[''US'', ''GB'']",tt0054953,7.5,50150,15.405,7.4
13,Richard Pryor: Live in Concert,tm69997,MOVIE,1979,R,78,"[''comedy'', ''documentation'']",['US'],tt0079807,8.1,5141,4.681,7.5
14,The Long Riders,tm96649,MOVIE,1980,R,99,"[''western'', ''crime'']",['US'],tt0081071,6.9,11329,8.808,6.6
15,White Christmas,tm16479,MOVIE,1954,,115,"[''romance'', ''comedy'', ''music'']",['US'],tt0047673,7.5,42373,9.71,7.2
17,The Queen,tm14491,MOVIE,1968,,68,['documentation'],['US'],tt0183686,7.2,1117,2.419,6.5
19,FTA,tm156453,MOVIE,1972,R,97,"[''comedy'', ''documentation'', ''music'']",['US'],tt0068562,6.2,411,2.466,6.1
46,Top Gun,tm119776,MOVIE,1986,PG,110,"[''drama'', ''action'']",['US'],tt0092099,6.9,329656,112.137,7
48,Stand by Me,tm111075,MOVIE,1986,R,89,['drama'],['US'],tt0092005,8.1,392790,16.096,7.9
49,Once Upon a Time in America,tm180542,MOVIE,1984,R,229,"[''drama'', ''crime'', ''european'']","[''US'', ''IT'']",tt0087843,8.3,342335,21.322,8.4
50,When Harry Met Sally...,tm138875,MOVIE,1989,R,96,"[''romance'', ''comedy'', ''drama'']",['US'],tt0098635,7.7,212913,16.005,7.4
51,Teenage Mutant Ninja Turtles,tm155792,MOVIE,1990,PG,93,"[''scifi'', ''action'', ''comedy'', ''family'']","[''HK'', ''US'']",tt0100758,6.7,92647,22.75,6.6
52,Full Metal Jacket,tm22327,MOVIE,1987,R,116,"[''drama'', ''war'']","[''GB'', ''US'']",tt0093058,8.3,723306,36.502,8.1
53,Christine,tm54450,MOVIE,1983,R,90,"[''horror'', ''thriller'', ''european'']",['US'],tt0085333,6.7,80945,19.311,6.8
