,title,id,imdb_id,imdb_score,imdb_votes,person_id,name,role
442,Inception,tm92641,tt1375666,8.8,2268288.0,2740,Michael Gaston,ACTOR
294,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3222,Nora Dunfee,ACTOR
253,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,77150,George Kelly,ACTOR
252,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,77151,Sonny Shroyer,ACTOR
288,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3219,Dick Cavett,ACTOR
289,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3218,Tiffany Salerno,ACTOR
290,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,91204,Marla Sucharetza,ACTOR
291,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3220,Joe Alaskey,ACTOR
292,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3221,Lazarus Jackson,ACTOR
293,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,603830,Matt Rebenkoff,ACTOR
426,Inception,tm92641,tt1375666,8.8,2268288.0,129032,Virgile Bramly,ACTOR
264,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3199,Mark Matheisen,ACTOR
296,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3225,Michael Mattison,ACTOR
286,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3217,Vanessa Roth,ACTOR
273,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3207,Daniel J. Gillooly,ACTOR
272,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,33663,John Voldstad,ACTOR
271,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3205,Michael Kemmerling,ACTOR
248,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3189,Haley Joel Osment,ACTOR
249,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3190,Siobhan Fallon Hogan,ACTOR
250,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,1816,Afemo Omilami,ACTOR
254,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3191,Sam Anderson,ACTOR
298,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,598576,Timothy McNeil,ACTOR
244,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3185,Mykelti Williamson,ACTOR
260,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3198,David Brisbin,ACTOR
434,Inception,tm92641,tt1375666,8.8,2268288.0,1033815,Adam Cole,ACTOR
274,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3208,Michael Burgess,ACTOR
285,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3216,Geoffrey Blake,ACTOR
287,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,1789250,Emily Carey,ACTOR
256,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3193,Christopher Jones,ACTOR
257,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3195,Kevin Mangan,ACTOR
258,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3194,Brett Rice,ACTOR
259,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3196,Daniel C. Striepeke,ACTOR
261,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3197,Kirk Ward,ACTOR
270,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3202,Mike Jolly,ACTOR
262,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,631613,Marlena Smalls,ACTOR
255,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3192,Margo Moorer,ACTOR
263,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,269583,Kitty K. Green,ACTOR
265,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3200,Al Harrington,ACTOR
266,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,619997,Joe Washington,ACTOR
267,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3201,Jed Gillin,ACTOR
303,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3230,Zach Hanner,ACTOR
269,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3203,Matt Wallace,ACTOR
251,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,30558,Peter Dobson,ACTOR
409,Inception,tm92641,tt1375666,8.8,2268288.0,3014,Marion Cotillard,ACTOR
440,Inception,tm92641,tt1375666,8.8,2268288.0,14204,Nicole Pulliam,ACTOR
311,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,680118,Jeffrey Winner,ACTOR
419,Inception,tm92641,tt1375666,8.8,2268288.0,84050,Earl Cameron,ACTOR
420,Inception,tm92641,tt1375666,8.8,2268288.0,351505,Ryan Hayward,ACTOR
305,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3233,Jacqueline Lovell,ACTOR
306,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3234,Brendan Shanahan,ACTOR
307,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3235,William Shipman,ACTOR
301,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,77152,Troy Christian,ACTOR
309,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3237,Mary Ellen Trainor,ACTOR
427,Inception,tm92641,tt1375666,8.8,2268288.0,351507,Nicolas Clerc,ACTOR
312,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,1225220,Bob Harks,ACTOR
408,Inception,tm92641,tt1375666,8.8,2268288.0,3015,Tom Berenger,ACTOR
313,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,115881,W. Benson Terry,ACTOR
314,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,874527,Tyler Long,ACTOR
315,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,169427,Jim Hanks,ACTOR
316,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,45768,Michael Oliver,ACTOR
300,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3227,Greg Brown,ACTOR
310,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,2252,Kurt Russell,ACTOR
299,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,318720,Bob Penny,ACTOR
